item_number	title	condition	description	email	type	piece_count	platform	media
1	Kevin Van Dam's Big Bass Challenge	Like New	Zoo Games   Unreleased	usr001@gt.edu	Video Game		PlayStation	Optical disc
2	Daikaijuu Monogatari: The Miracle of the Zone	Mint		usr001@gt.edu	Card Game			
3	Postal	Damaged/Missing parts	Running with Scissors	usr001@gt.edu	Computer Game		macOS	
4	Euro Truck Simulator	Lightly Used	SCS Software	usr001@gt.edu	Computer Game		macOS	
5	Cricket Attax	Damaged/Missing parts	Topps   	usr001@gt.edu	Card Game			
6	Pony Island	Lightly Used	Daniel Mullins Games	usr001@gt.edu	Computer Game		Windows	
7	Babylon 5 Collectible Card Game 	Heavily Used	by Precedence Entertainment   	usr001@gt.edu	Card Game			
8	Mario Tennis 64JP	Like New	Camelot   Nintendo	usr001@gt.edu	Video Game		Nintendo	Game card
9	Pokemon Stadium Gold SilverJP	Damaged/Missing parts	Nintendo EAD   Nintendo	usr001@gt.edu	Video Game		Nintendo	Game card
10	Donkey Kong card game	Moderately Used		usr001@gt.edu	Card Game			
11	Act of Aggression	Lightly Used	Eugen Systems   Focus Home Interactive	usr001@gt.edu	Computer Game		Windows	
12	Dimps	Like New	Namco Bandai Games   Unreleased	usr001@gt.edu	Video Game		Xbox	Cartridge
13	NBA in the Zone 2JP	Mint	KCEO   Konami	usr002@gt.edu	Video Game		Nintendo	Optical disc
14	Frosty Adventures 	Like New	Jigsaw Puzzle By Ravensburger NEW	usr002@gt.edu	Jigsaw Puzzle	48		
15	Pok�mon Puzzle League	Lightly Used	Nintendo Software Technology   Nintendo	usr002@gt.edu	Video Game		Nintendo	Game card
16	Monopoly	Damaged/Missing parts	Board game   EA Bright Light	usr002@gt.edu	Video Game		Xbox	Game card
17	Monopoly Deal	Like New	Card & Board   Asobo Studio	usr002@gt.edu	Video Game		Xbox	Cartridge
18	Jetpack Joyride	Moderately Used	Halfbrick Studios   Unreleased	usr002@gt.edu	Video Game		PlayStation	Cartridge
19	Under the Big Top	Damaged/Missing parts	Andrea Farnham (art and tricks)	usr002@gt.edu	Jigsaw Puzzle	27		
20	Multi-Racing ChampionshipJP	Damaged/Missing parts	Genki   ImagineerJP	usr002@gt.edu	Video Game		Nintendo	Optical disc
21	Europa Universalis III	Moderately Used		usr003@gt.edu	Computer Game		Windows	
22	Wreck It Ralph 2 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr003@gt.edu	Jigsaw Puzzle	150		
23	Payday 2	Like New	Overkill Software   505 Games	usr003@gt.edu	Computer Game		macOS	
24	Silkroad Online	Lightly Used	Joymax   Joymax, Yahoo!	usr003@gt.edu	Computer Game		Linux	
25	Trireme	Damaged/Missing parts	Battleline Publications  1979	usr003@gt.edu	Board Game			
26	Mario Party	Heavily Used	Hudson Soft   Nintendo	usr003@gt.edu	Video Game		Nintendo	Cartridge
27	Firestorm Tactical Card Game 	Heavily Used		usr003@gt.edu	Card Game			
28	Monopoly Plus	Moderately Used		usr003@gt.edu	Video Game		Xbox	Game card
29	Successors	Moderately Used	Avalon Hill  1997	usr003@gt.edu	Board Game			
30	Postal	Lightly Used	Running with Scissors	usr003@gt.edu	Computer Game		macOS	
31	Age of Empires III	Lightly Used	Ensemble Studios   Microsoft Game Studios	usr003@gt.edu	Computer Game		macOS	
32	Major League Baseball 2K7	Lightly Used	Sports   Kush Games	usr003@gt.edu	Video Game		Xbox	Optical disc
33	Alien Swarm	Lightly Used	Valve	usr004@gt.edu	Computer Game		macOS	
34	Battleground 4: Shiloh	Lightly Used		usr004@gt.edu	Computer Game		Windows	
35	Stellar Monarch	Moderately Used	Silver Lemur Games	usr004@gt.edu	Computer Game		macOS	
36	"Imajica	"	Like New	Harper Prism/Clive Barker   	usr004@gt.edu	Card Game			
37	Phalanx	Like New	Simulations Publications, Inc.  1971	usr004@gt.edu	Board Game			
38	Choro Q 64JP	Lightly Used	Locomotive Corporation   TakaraJP	usr004@gt.edu	Video Game		Nintendo	Game card
39	The Witcher 3: Wild Hunt	Damaged/Missing parts	CD Projekt Red   Atari, Inc	usr004@gt.edu	Computer Game		macOS	
40	Trivial Pursuit	Heavily Used	Quebec, Canada  Single six-sided die	usr004@gt.edu	Board Game			
41	A Detective's Novel	Lightly Used	Amaterasu Software	usr004@gt.edu	Computer Game		macOS	
42	Mission Impossible	Damaged/Missing parts		usr004@gt.edu	Video Game		Nintendo	Game card
43	Monster Hunter Frontier G1	Damaged/Missing parts	Action role-playing, Expansion   Capcom	usr005@gt.edu	Video Game		Xbox	Optical disc
44	Inuyasha Trading Card Game 	Like New		usr005@gt.edu	Card Game			
45	Astebreed	Heavily Used	Edelweiss   Playism	usr005@gt.edu	Computer Game		Windows	
46	G.I. Joe Trading Card Game 	Moderately Used	Wizards of the Coast   	usr005@gt.edu	Card Game			
47	Burnout Paradise: The Ultimate Box	Like New	Criterion Games   Electronic Arts	usr005@gt.edu	Computer Game		Windows	
48	Suzanne Stofflet (riddles)	Heavily Used	20/50	usr005@gt.edu	Jigsaw Puzzle	55		
49	Final Fantasy Trading Card Game 	Lightly Used		usr005@gt.edu	Card Game			
50	Mortal Kombat Mythologies: Sub-Zero	Mint	Midway Games   	usr005@gt.edu	Video Game		Nintendo	Game card
51	Madden NFL 07	Moderately Used	Sports   EA Tiburon	usr005@gt.edu	Video Game		Xbox	Optical disc
52	Blitzkrieg	Damaged/Missing parts	Nival Interactive   CDV, 1C Company, Virtual Programming	usr006@gt.edu	Computer Game		macOS	
53	Echelons of Fire	Mint	Medallion Simulations   	usr006@gt.edu	Card Game			
54	Call of Cthulhu: Collectible Card Game	Like New	Fantasy Flight Games   	usr006@gt.edu	Card Game			
55	"Wing Commander Collectible Trading Card Game	"	Like New	Mag Force 7   	usr006@gt.edu	Card Game			
56	Planetarian: The Reverie of a Little Planet	Like New	Key   VisualArt's, KineticNovel	usr006@gt.edu	Computer Game		Windows	
57	Adventure Pinball: Forgotten Island	Heavily Used	Digital Extremes   Electronic Arts	usr006@gt.edu	Computer Game		Linux	
58	Persona 4 Golden	Mint	Atlus   Sega	usr006@gt.edu	Computer Game		Windows	
59	Battleground 4: Shiloh	Heavily Used		usr006@gt.edu	Computer Game		Windows	
60	Kane & Lynch 2: Dog Days	Heavily Used	IO Interactive   	usr006@gt.edu	Video Game		PlayStation	Game card
