email	password	first_name	last_name	nickname	postal_code	phone_number	phone_type	to_share
usr001@gt.edu	pass001	Justine	Haroldson	abiding pickle	34114	1897960252	Home	1
usr002@gt.edu	pass002	Stephaine	Halsey	nondescript girl	35048	8287436390	Work	1
usr003@gt.edu	pass003	Marguerita	Stuer	calculating straw	21911	5955174920	Work	0
usr004@gt.edu	pass004	Tiffiny	Maile	teeny songs	02128			
usr005@gt.edu	pass005	Gearldine	Gehrett	cagey side	71463	1517399027	Work	1
usr006@gt.edu	pass006	Raul	Paskin	clever side	52032	2439079764	Home	0
usr007@gt.edu	pass007	Ceola	Tollner	purring toy	12742	0543694973	Home	1
usr008@gt.edu	pass008	Maryann	Diestel	abiding houses	27546	0123251352	Home	0
usr009@gt.edu	pass009	Maile	Riopelle	handsome bone	12082	0138741962	Work	0
usr010@gt.edu	pass010	Alisha	Bergesen	unsightly bead	35225	8421835141	Mobile	0
usr011@gt.edu	pass011	Angella	Maclead	remarkable linen	84106	0512856470	Work	0
usr012@gt.edu	pass012	Carlee	Arias	acceptable planes	59419	5943281280	Home	0
usr013@gt.edu	pass013	Danica	Francescon	lyrical match	82721	5198589566	Home	0
usr014@gt.edu	pass014	Kayleigh	Toelkes	habitual temper	84116	1601490397	Mobile	1
usr015@gt.edu	pass015	Alesia	Acey	cute coil	18706	3955814301	Home	0
usr016@gt.edu	pass016	Portia	Menter	capricious test	25969			
usr017@gt.edu	pass017	Helene	Hoa	sloppy snakes	25802	0374022734	Home	0
usr018@gt.edu	pass018	Ressie	Merced	hurried veil	55380			
usr019@gt.edu	pass019	Sarah	Tomblin	craven stage	04926	5544583107	Mobile	0
usr020@gt.edu	pass020	Yvonne	Ehmann	furtive clam	45233	4286553016	Mobile	0
usr021@gt.edu	pass021	Howard	Demesa	future train	30518	4963453607	Mobile	1
usr022@gt.edu	pass022	Alline	Harabedian	kind pipe	12949	2806560776	Mobile	0
usr023@gt.edu	pass023	Latrice	Klang	accurate talk	99741			
usr024@gt.edu	pass024	Galen	Vanausdal	same apparatus	26147			
usr025@gt.edu	pass025	Gregoria	Moyd	craven slip	72769			
usr026@gt.edu	pass026	Leonora	Vanausdal	absorbing cats	71373	3955024572	Work	1
usr027@gt.edu	pass027	Selma	Degroot	electric grape	49643	2420949427	Work	0
usr028@gt.edu	pass028	Lauran	Bolognia	wonderful riddle	62639			
usr029@gt.edu	pass029	Lorean	Zepp	ritzy talk	88437	6695887168	Home	0
usr030@gt.edu	pass030	Melissa	Tollner	silent ship	29260	7269502374	Work	0
usr031@gt.edu	pass031	Talia	Vanheusen	ad hoc record	06493	4603071357	Mobile	0
usr032@gt.edu	pass032	Matthew	Gillian	amusing war	87503			
usr033@gt.edu	pass033	Raymon	Mcdoniel	worried selection	49329	1212878868	Work	0
usr034@gt.edu	pass034	Gail	Moyd	eatable quince	63345	7787026399	Home	0
usr035@gt.edu	pass035	Luisa	Foller	towering coast	87041	5368450768	Home	1
usr036@gt.edu	pass036	Cory	Fillingim	gigantic pipe	52742	8976949335	Mobile	0
usr037@gt.edu	pass037	Tawna	Brideau	necessary shape	38352	6933182506	Work	0
usr038@gt.edu	pass038	Chau	Springe	halting kick	27545	9742517917	Mobile	1
